,accuracy,rank_valid
0,0.9375,1
1,0.9375,1
2,0.9375,1
3,0.9375,1
4,0.9375,1
5,0.9375,1
6,0.9375,1
7,0.9375,1
8,0.9375,1
9,0.9375,1
10,0.9375,1
11,0.9375,1
12,0.9375,1
13,0.9375,1
14,0.9375,1
15,0.9375,1
16,0.9375,1
17,0.9375,1
18,0.9375,1
19,0.9688,0
